Mode,Start_Run_ID,End_Run_ID,Start_Time,End_Time,Total_Runs_In_Block
background_linked,067993,068400,2024-10-24 07:43:14.680,2024-11-12 09:10:46.610,300
background_tpc_mv,068032,068032,2024-10-25 10:06:54.556,2024-10-25 10:27:09.678,1
tpc_bkg,068086,068086,2024-10-28 13:50:50.065,2024-10-28 14:21:21.179,1
tpc_bkg,068122,068122,2024-10-30 12:24:30.977,2024-10-30 12:46:09.674,1
background_tpc_nv,068272,068272,2024-11-06 12:45:47.877,2024-11-06 13:05:50.888,1
background_tpc_mv,068274,068274,2024-11-06 13:15:30.125,2024-11-06 13:35:33.402,1
background_tpc_mv,068332,068332,2024-11-08 10:52:27.261,2024-11-08 10:57:18.220,1
background_tpc_nv,068384,068384,2024-11-11 15:03:53.204,2024-11-11 15:27:04.455,1
tpc_kr83m,068404,068639,2024-11-12 09:42:08.316,2024-11-14 20:54:02.419,112
background_linked,068640,069054,2024-11-14 20:55:37.415,2024-12-05 16:54:43.751,320
background_tpc_nv,068697,068697,2024-11-18 10:32:03.936,2024-11-18 10:57:14.926,1
background_tpc_mv,068699,068699,2024-11-18 10:59:14.394,2024-11-18 11:17:45.406,1
tpc_bkg,068760,068794,2024-11-21 14:38:59.170,2024-11-22 12:44:07.335,2
tpc_bkg,068849,068849,2024-11-25 11:24:07.856,2024-11-25 11:53:59.093,1
tpc_bkg,068883,068883,2024-11-27 09:20:57.252,2024-11-27 10:22:56.187,1
tpc_bkg,068938,068938,2024-11-29 10:47:22.628,2024-11-29 11:34:25.628,1
tpc_bkg,069031,069031,2024-12-04 11:03:22.565,2024-12-04 11:26:17.585,1
tpc_kr83m,069056,069268,2024-12-05 16:57:51.775,2024-12-08 09:18:10.280,102
background_linked,069271,069732,2024-12-08 09:19:57.468,2024-12-30 09:39:54.121,332
tpc_bkg,069298,069298,2024-12-09 14:53:10.814,2024-12-09 15:15:34.152,1
tpc_bkg,069334,069334,2024-12-11 14:36:25.351,2024-12-11 15:04:40.466,1
background_tpc_mv,069387,069387,2024-12-13 10:07:05.914,2024-12-13 10:58:48.988,1
tpc_bkg,069442,069442,2024-12-16 10:12:05.548,2024-12-16 11:12:12.745,1
tpc_bkg,069478,069478,2024-12-18 09:14:01.374,2024-12-18 09:37:52.651,1
background_tpc_mv,069539,069539,2024-12-20 11:40:30.265,2024-12-20 11:59:33.393,1
tpc_bkg,069629,069629,2024-12-25 15:50:38.174,2024-12-25 16:25:21.235,1
tpc_kr83m,069734,069971,2024-12-30 10:12:52.718,2025-01-02 09:02:34.216,137
tpc_bkg,069995,070020,2025-01-02 10:29:49.843,2025-01-03 15:14:53.141,8
background_linked,069998,070179,2025-01-02 10:46:35.008,2025-01-10 09:15:08.546,109
tpc_bkg,070069,070117,2025-01-06 10:47:55.376,2025-01-08 16:59:32.860,12
th232_tpc_nv,070133,070138,2025-01-09 08:38:50.504,2025-01-09 09:46:04.699,4
tpc_radon_hev,070183,070472,2025-01-10 10:10:09.245,2025-01-14 06:13:44.425,159
tpc_radon,070478,070683,2025-01-14 07:17:42.455,2025-01-17 08:55:39.507,130
tpc_radon_hev,070529,070531,2025-01-15 06:58:14.235,2025-01-15 09:16:52.548,3
tpc_kr83m,070697,070995,2025-01-17 11:07:22.117,2025-01-21 05:54:03.945,174
tpc_radon,070999,071002,2025-01-21 07:15:47.205,2025-01-21 10:16:46.956,2
neutron_generator_TPC_NV_linked,071009,071087,2025-01-21 11:29:50.882,2025-01-23 01:41:43.372,30
background_linked,071013,071182,2025-01-21 12:55:27.221,2025-01-27 09:31:30.321,81
tpc_bkg,071042,071103,2025-01-22 11:03:17.701,2025-01-23 17:34:13.834,4
ambe_linked_hev,071184,071438,2025-01-27 09:56:58.306,2025-01-30 11:15:13.610,88
ambe_link,071206,071218,2025-01-27 14:49:51.482,2025-01-27 17:48:05.082,11
ambe_link,071439,071458,2025-01-30 11:16:28.823,2025-01-30 15:29:58.064,14
background_linked,071459,071545,2025-01-30 15:36:41.700,2025-02-03 13:38:25.376,62
tpc_bkg,071541,071541,2025-02-03 10:35:51.218,2025-02-03 10:53:22.441,1
ambe_linked_hev,071548,071890,2025-02-03 14:03:07.862,2025-02-06 16:45:51.610,179
background_linked,071893,072030,2025-02-06 16:54:50.817,2025-02-11 09:15:07.913,68
tpc_bkg,071924,071924,2025-02-07 09:52:41.636,2025-02-07 10:45:03.381,1
th232_tpc_nv,071985,072007,2025-02-10 09:24:37.988,2025-02-10 14:54:46.224,20
tpc_bkg,072014,072031,2025-02-10 16:07:12.615,2025-02-11 10:13:47.222,2
neutron_generator_TPC_NV_linked,072045,072216,2025-02-11 14:13:28.432,2025-02-13 09:32:25.587,129
background_linked,072213,072214,2025-02-13 06:17:12.738,2025-02-13 08:33:56.066,2
neutron_generator_TPC_NV_linked_busy_v10,072220,072631,2025-02-13 09:53:23.458,2025-02-17 13:42:56.257,294
background_linked,072422,072454,2025-02-15 02:28:09.888,2025-02-15 21:55:49.186,11
neutron_generator_TPC_NV_linked,072632,073377,2025-02-17 13:43:48.591,2025-02-24 08:22:58.868,580
neutron_generator_TPC_NV_linked_busy_v10,072754,072754,2025-02-18 16:44:55.694,2025-02-18 16:51:12.184,1
tpc_bkg,073386,073416,2025-02-24 09:46:15.906,2025-02-25 10:02:57.776,8
background_linked,073388,073422,2025-02-24 09:53:26.227,2025-02-25 14:47:27.218,12
neutron_generator_TPC_NV_linked,073424,073426,2025-02-25 14:49:50.027,2025-02-25 15:21:44.676,2
tpc_bkg,073617,073684,2025-02-27 09:36:36.170,2025-02-28 10:16:56.887,6
background_linked,073648,073733,2025-02-27 15:45:47.151,2025-03-03 08:34:24.861,58
tpc_kr83m,073734,073822,2025-03-03 08:38:24.471,2025-03-04 10:02:07.165,48
tpc_ar37,073823,074187,2025-03-04 10:03:17.870,2025-03-08 18:26:41.021,199
