Run_ID,Livetime_sec,Gate_Event_Count,Gate_Event_Rate_Hz,Cathode_Event_Count,Cathode_Event_Rate_Hz,S1_Only_Heavy_Count,S1_Only_Heavy_Rate_Hz,S2_Only_SE_Count,S2_Only_SE_Rate_Hz,Wall_Event_Count,Wall_Event_Rate_Hz
054764,10803.19,7063,0.6537883717679686,4412,0.4083978898825254,1226,0.11348499841250594,2567,0.23761500075440678,12842,1.1887229605329537
054765,3046.458,2040,0.6696301081452625,1213,0.39816731430402125,363,0.11915476924349523,747,0.24520278960025052,3654,1.1994256937072496
057128,10803.403,8074,0.7473571059045007,4906,0.4541161706177211,400,0.03702537061701762,448,0.04146841509105973,207,0.01916062929430662
057163,10800.841,7944,0.7354982820319269,4878,0.45163149795465,318,0.029442151773181366,358,0.03314556709056267,201,0.01860966196984105
057028,99.18,103,1.038515829804396,51,0.514216575922565,7,0.07057874571486186,10,0.1008267795926598,5,0.0504133897963299
055758,246.494,163,0.6612737024024925,119,0.4827703716926173,33,0.13387749803240648,63,0.2555843144255033,314,1.2738646782477463
056979,4360.196,5062,1.1609569845025316,2474,0.5674056854324897,230,0.05274992225120155,269,0.06169447428510095,171,0.03921842045632811
054575,4568.011,2918,0.6387900554530188,1868,0.4089307140460038,568,0.12434295801827096,1141,0.24978048432895628,5689,1.2453998031090554
056931,10801.094,101228,9.37201361269516,30381,2.812770632308172,5686,0.5264281562589864,6438,0.5960507333794152,5232,0.4843953769868127
057199,10800.549,7801,0.7222780990114483,4821,0.44636619860712634,323,0.02990588719147517,356,0.032961287430851895,181,0.016758407373551103
056980,83.451,91,1.0904602700986208,45,0.5392385951037136,0,0.0,0,0.0,4,0.04793231956477454
055851,1006.913,694,0.6892353162587036,459,0.4558487178137535,112,0.11123105968440172,230,0.2284209261376107,1349,1.3397383885201601
057032,83.775,95,1.1339898537749924,45,0.5371530886302596,6,0.07162041181736795,6,0.07162041181736795,3,0.03581020590868397
054719,2491.469,1570,0.630150324968924,1064,0.42705729029741085,304,0.12201636865640311,592,0.23761082317299553,2964,1.1896595943999302
056934,10803.68,81039,7.501055196007286,24968,2.311064378063771,4364,0.4039364364734979,5209,0.48215052648727097,4515,0.41791315551737923
057441,10803.31,7000,0.6479495636059689,4556,0.4217226016841135,316,0.029250294585640883,344,0.031842092840064756,178,0.01647643176026607
057401,10803.538,7140,0.6608946069333953,4599,0.4256938791718046,304,0.028138930043102545,331,0.030638111329825468,174,0.01610583495888106
057366,10803.609,7122,0.6592241537064142,4580,0.4239324099937345,308,0.02850899176377079,341,0.031563526595603374,146,0.01351400258931992
057234,10803.638,7495,0.6937477912532797,4662,0.43152130791498194,314,0.029064283716281496,355,0.03285930165375774,176,0.016290808707215106
056986,67.628,84,1.2420890755308451,51,0.7541255101437274,5,0.07393387354350268,6,0.08872064825220323,4,0.05914709883480215
054749,2657.631,1817,0.6836916035371352,1072,0.4033667578380897,268,0.10084168945952242,599,0.22538870144124598,3080,1.1589268788631681
057035,10801.955,11256,1.0420335948446369,5782,0.5352734759587501,522,0.048324585688423995,613,0.05674898664176994,391,0.036197151348991916
055895,1999.367,1305,0.6527065816330869,879,0.4396391457896424,212,0.10603355962162024,414,0.20706553624222065,2446,1.2233872020494487
056937,10800.22,67752,6.273205545812956,21706,2.009773874976621,3605,0.3337894968806191,4325,0.4004548055502573,3528,0.3266600124812273
057444,5911.686,3876,0.655650520003938,2533,0.4284733661429244,164,0.02774166286910367,181,0.03061732304455954,86,0.014547457358188512
057404,10804.227,7001,0.6479871257795675,4522,0.41853989184048057,286,0.026471120978853922,315,0.029155255623562887,182,0.016845258804725222
057369,10803.596,7146,0.6614464295036578,4670,0.43226347967843304,315,0.029156958479380386,350,0.032396620532644874,139,0.012866086440107534
057270,10803.726,7505,0.6946677470346804,4717,0.4366086292821569,271,0.025083938633763944,305,0.028231001045380084,175,0.016198115353906604
062782,1695.243,1092,0.6441554396626324,684,0.40348197868978075,179,0.10558958214250111,359,0.21176905021875922,2024,1.1939291299241466
064447,1299.258,895,0.6888547155376377,517,0.39791942785805434,133,0.10236611973911262,251,0.1931871883798291,1527,1.1752862018167292
063534,999.16,664,0.6645582289122863,385,0.3853236718843829,105,0.10508827415028624,212,0.21217822971295888,1172,1.1729853076584331
058591,1219.347,725,0.5945805418802032,533,0.4371192121684804,120,0.09841333106982672,234,0.19190599558616211,1441,1.181780083930169
062241,2407.681,1607,0.6674472241131612,946,0.3929091935351901,286,0.11878650037110398,480,0.1993619586647899,3035,1.260549051140911
062414,1483.437,969,0.6532127754667034,607,0.40918488617986476,147,0.09909419813581569,283,0.19077318416623018,1719,1.1587954190167833
056989,95.4,108,1.1320754716981132,60,0.6289308176100629,6,0.06289308176100629,7,0.07337526205450734,3,0.031446540880503145
056282,1532.734,968,0.6315512019698134,805,0.5252052867620866,161,0.10504105735241732,350,0.2283501246791681,2015,1.3146442892243535
057038,10802.118,10627,0.9837885496159179,5526,0.5115663428227686,499,0.04619464442065899,563,0.05211940843453108,331,0.030642138884244736
054788,5909.765,3851,0.6516333559794678,2351,0.3978161568184183,729,0.12335515879227008,1420,0.24028028187246023,6998,1.1841418398193497
056940,10803.244,56993,5.2755450122204035,18790,1.7392923829175755,3028,0.2802861807064619,3612,0.33434401740810443,2869,0.2655683792757064
057372,10803.171,7318,0.677393702275008,4684,0.4335764008548971,311,0.02878784386547246,341,0.031564806296225434,159,0.014717900882990744
057305,10800.909,7405,0.6855904442857541,4638,0.4294083025789774,305,0.02823836401176975,346,0.032034340813351915,156,0.014443228806019939
057479,1110.933,862,0.7759243806782227,559,0.5031806598597756,8,0.0072011543450415105,11,0.009901587224432077,26,0.02340375162138491
057407,10803.921,7130,0.6599455882729983,4668,0.43206535849345806,302,0.0279528145383514,340,0.03147005610277972,150,0.013883848280638112
062960,1235.585,757,0.6126652557290676,473,0.382814618176815,135,0.10925998616040175,274,0.22175730524407467,1520,1.2301865108430419
062614,1171.241,718,0.6130249880255216,486,0.41494449050195475,136,0.11611615372071163,241,0.20576465475508457,1399,1.1944595518770262
062255,1387.052,909,0.655346735378342,528,0.3806634502527663,136,0.098049676580258,260,0.18744791110931674,1637,1.180200886484429
059023,94.897,55,0.579575750550597,43,0.45312285952137576,7,0.07376418643371234,15,0.15806611378652644,123,1.2961421330495169
064512,1282.957,862,0.6718853398827863,502,0.3912835738064487,132,0.10288731422799048,256,0.19953903365428458,1568,1.222176581132493
063577,1079.137,706,0.6542264791217427,463,0.4290465436733242,104,0.09637330570631904,201,0.18625994660548198,1242,1.1509196700696946
056992,139.88,151,1.0794967114669718,79,0.5647698026880184,6,0.042893909064912784,8,0.057191878753217046,3,0.021446954532456392
057041,10803.534,9690,0.8969287272109293,5307,0.4912281481226421,464,0.04294890912547691,527,0.04878033428691019,296,0.027398442028321476
