number,quality_score,anomaly_votes,is_consensus_bad,start,mode
056980,28.52143448797174,5,True,2023-12-07 13:05:52.037,tpc_bkg
057457,28.533178151460625,5,True,2023-12-12 16:27:19.008,ambe_link_all
057542,29.07368243725599,5,True,2023-12-18 02:03:30.839,background_linked
057035,29.084460670360972,5,True,2023-12-07 14:40:26.009,tpc_bkg
057540,29.189963502041557,5,True,2023-12-17 20:01:41.056,background_linked
057414,29.2948323933366,5,True,2023-12-11 11:27:20.353,tpc_bkg
057427,29.3632226572052,5,True,2023-12-12 00:18:19.958,tpc_bkg
057128,29.364732703227922,5,True,2023-12-08 14:04:42.626,tpc_bkg
057392,29.50949585294091,5,True,2023-12-10 17:21:49.863,tpc_bkg
056986,29.936686476473607,5,True,2023-12-07 13:10:29.470,tpc_bkg
057454,29.97267373909089,5,True,2023-12-12 15:12:24.924,ambe_link_all
056494,30.105777621743776,5,True,2023-11-27 09:10:04.747,background_linked
057234,30.134807348841274,5,True,2023-12-08 23:07:21.219,tpc_bkg
057456,30.23756527805984,5,True,2023-12-12 16:14:15.856,ambe_link_all
057474,30.246986904984123,5,True,2023-12-14 02:43:23.633,background_linked
057023,30.445040679819567,5,True,2023-12-07 14:22:40.762,tpc_bkg
057404,30.740481730137155,5,True,2023-12-11 05:25:25.228,tpc_bkg
057038,30.801052824423188,5,True,2023-12-07 17:41:24.154,tpc_bkg
057028,30.825386159730794,5,True,2023-12-07 14:30:19.356,tpc_bkg
057395,30.945127519573322,5,True,2023-12-10 20:22:46.387,tpc_bkg
057002,30.952138557359053,5,True,2023-12-07 13:38:44.111,tpc_bkg
057079,31.013982514485143,5,True,2023-12-08 10:05:32.484,tpc_bkg
057475,31.047835685645065,5,True,2023-12-14 05:44:18.587,background_linked
057027,31.05018978371328,5,True,2023-12-07 14:27:03.330,tpc_bkg
057401,31.119316216120872,5,True,2023-12-11 02:24:32.603,tpc_bkg
057534,31.21945254231563,5,True,2023-12-17 13:33:41.155,tpc_bkg
056989,31.26072788244136,5,True,2023-12-07 13:12:47.934,tpc_bkg
057375,31.270718353807627,5,True,2023-12-10 05:16:37.718,tpc_bkg
057385,31.382906292538138,5,True,2023-12-10 11:18:51.662,tpc_bkg
057378,31.403456065990508,5,True,2023-12-10 08:17:34.024,tpc_bkg
057407,31.46236390209407,5,True,2023-12-11 08:26:18.763,tpc_bkg
057032,31.503297211361144,5,True,2023-12-07 14:36:43.369,tpc_bkg
057398,31.609299849093098,5,True,2023-12-10 23:23:39.679,tpc_bkg
056495,31.864822596524807,5,True,2023-11-27 12:10:58.377,background_linked
056992,31.896689236279418,5,True,2023-12-07 13:16:18.402,tpc_bkg
057000,31.99072203927293,5,True,2023-12-07 13:36:30.962,tpc_bkg
057270,32.06843425399999,5,True,2023-12-09 02:08:17.247,tpc_bkg
057541,32.259573158718595,5,True,2023-12-17 23:02:35.209,background_linked
057467,32.32340879254656,5,True,2023-12-13 11:13:47.125,background_tpc_mv
057372,32.44079314227944,5,True,2023-12-10 02:15:41.579,tpc_bkg
057505,32.766203449372014,5,True,2023-12-14 17:33:21.875,background_linked
056995,32.77477562545684,5,True,2023-12-07 13:21:40.002,tpc_bkg
057305,32.797490890405456,5,True,2023-12-09 05:09:19.119,tpc_bkg
057341,32.90680220939657,5,True,2023-12-09 08:10:12.933,tpc_bkg
057075,32.986916362286706,5,True,2023-12-08 09:44:25.128,tpc_bkg
057472,33.007419173802404,5,True,2023-12-13 20:41:33.927,background_linked
057479,33.21163825401081,5,True,2023-12-14 13:44:19.712,tpc_bkg
056504,33.252286310054146,4,True,2023-11-27 18:58:34.646,background_linked
057360,33.332029730717956,5,True,2023-12-09 14:12:03.589,tpc_bkg
057510,33.33284348165429,5,True,2023-12-15 08:37:58.002,background_linked
057369,33.39790736925548,5,True,2023-12-09 23:14:45.036,tpc_bkg
057509,33.45356227803061,5,True,2023-12-15 05:37:02.354,background_linked
057357,33.47501212296127,5,True,2023-12-09 11:11:07.620,tpc_bkg
057050,33.48737489487108,5,True,2023-12-08 05:45:03.992,tpc_bkg
057047,33.59701607965744,5,True,2023-12-08 02:44:08.018,tpc_bkg
057366,33.73318230140031,5,True,2023-12-09 20:13:48.984,tpc_bkg
057041,33.78109091957952,5,True,2023-12-07 20:42:18.450,tpc_bkg
057363,34.049556552645086,5,True,2023-12-09 17:12:56.295,tpc_bkg
057470,34.32592640735412,5,True,2023-12-13 14:39:43.830,background_linked
057044,34.60046373527661,5,True,2023-12-07 23:43:14.378,tpc_bkg
057508,35.169681070941294,5,True,2023-12-15 02:36:07.107,background_linked
057469,35.19712478984792,5,True,2023-12-13 11:38:49.179,background_linked
057483,35.25698209302721,5,True,2023-12-14 14:04:24.083,background_linked
057579,35.31124038579858,5,True,2023-12-20 14:28:17.381,background_linked
057471,35.51212177529845,5,True,2023-12-13 17:40:39.239,background_linked
